session,lap,lap_time,corner,direction,entry_speed,min_speed,exit_speed,min_s,brake_peak_g,brake_dist_m,brake_time_s,coast_time_s,trail_brake_s,max_lat_g,steer_yaw_std,steer_yaw_jerk,gas_start_speed,gas_start_s
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,2,L,39.90732467532463,27.95703896103893,29.353090909090874,153.03841865115206,-0.3615324675324671,29.356971582592465,3.099999999999966,0.0,3.0,1.369826839826838,0.4610160211075446,4.276056667386589,29.353090909090874,160.94387140949053
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,3,L,43.90612987012981,24.754597402597373,28.726753246753212,208.58249753055333,-0.8276017316017307,23.935873707759526,2.3999999999999773,0.0,1.1,0.9726363636363625,1.0317979962684813,6.963863715455258,28.972207792207758,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,4,L,24.855584415584385,24.855584415584385,28.469922077922046,209.33564942800695,-0.3630692640692637,0.0,0.0,0.10000000000002274,3.8000000000000003,1.1520562770562757,0.807916968389558,6.963863715455258,37.88166233766229,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,5,L,41.4746493506493,32.39080519480516,39.90093506493502,271.8614886607285,-0.3630692640692637,12.19704114148118,1.3000000000000114,0.0,1.6,0.8573982683982674,0.5948296997078597,3.822271061867261,40.78628571428567,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,6,L,45.547168831168776,28.221506493506464,37.42877922077918,324.9539527170883,-0.7997922077922069,24.079438145352242,2.2999999999999545,0.19999999999998863,2.0,0.9014502164502154,0.5978874678427659,2.923426497090849,54.82457142857137,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,1,R,50.08457142857137,26.909610389610357,33.3922597402597,28.642404849845292,-0.8231948051948043,19.921469280143903,2.0,0.0,4.1000000000000005,1.3313896103896088,0.8190848997825112,4.297873283033091,34.66737662337658,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,2,L,34.3737662337662,27.41080519480516,28.058181818181787,156.98743994021476,-0.47750216450216393,45.34921602144584,4.2999999999999545,0.0,2.8000000000000003,1.306679653679652,0.4956781781437725,5.489060497522805,34.66737662337658,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,3,L,43.66784415584411,24.07683116883114,30.28644155844152,206.28515872267624,-0.42514718614718566,21.638534899882444,2.1000000000000227,0.0,1.4000000000000001,1.1228484848484837,0.9776747880076146,5.873032932961586,30.42202597402594,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,4,L,24.818961038961007,24.818961038961007,29.373974025973993,209.33564942800695,-0.43574458874458827,0.0,0.0,1.1000000000000227,3.3000000000000003,1.1720779220779207,0.7537443355152068,5.873032932961586,41.69641558441553,251.38115772915245
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,5,L,42.181714285714236,31.86031168831165,38.78742857142853,269.1024678027653,-0.4744069264069259,0.0,0.0,0.0,0.7000000000000001,1.0064025974025963,0.5818904921664257,5.244714402243584,40.63948051948047,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,6,L,44.953558441558386,28.461662337662304,35.887324675324635,324.9539527170883,-0.5242900432900427,24.079438145352242,2.2999999999999545,0.30000000000001137,2.4000000000000004,0.8947445887445876,0.6220006493776612,5.244714402243584,54.92618181818175,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,1,R,48.8998441558441,26.87859740259737,33.428415584415546,30.147209972942033,-0.49227272727272675,17.485017009729802,1.8000000000000114,0.2999999999999545,3.0,1.184376623376622,0.8523289577631148,4.005530633325604,43.09168831168826,78.6636035463479
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,2,L,37.27168831168827,25.619688311688282,27.820363636363602,154.6403828181315,-0.7625670995670987,14.93050522771216,2.0,1.5,3.7,1.469675324675323,0.4989160049970067,7.504915783575318,34.57527272727268,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,3,L,43.96799999999995,25.012363636363606,30.856051948051913,206.28515872267624,-0.47275324675324615,15.531098204597896,1.6000000000000227,0.0,1.4000000000000001,1.3458138528138512,1.0252079764695519,6.968227038588133,30.856051948051913,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,4,L,25.601922077922048,25.601922077922048,28.948675324675293,209.33564942800695,-0.47275324675324615,0.0,0.0,0.0,3.3000000000000003,1.3458138528138512,0.744926176205532,4.747295565425111,37.79797402597398,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,5,L,41.95620779220774,31.90519480519477,40.15293506493502,271.8614886607285,-0.31801298701298664,9.832790975459147,1.0,0.0,0.4,0.7602337662337654,0.5950184068969084,3.656464782926143,40.52088311688307,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,6,L,45.08275324675319,28.67735064935062,36.377142857142815,324.9539527170883,-0.38377922077922033,14.359568678479718,1.4989999999999668,0.4000000000000341,1.9000000000000001,1.078134199134198,0.6157853997611341,3.5168384427689734,54.85246753246747,409.16830225576496
RaceBox Track Sessionon 29-05-2026 21-38.csv,11,42.78,1,R,43.96410389610385,25.591948051948023,32.47262337662334,30.890933435103452,-0.35316450216450174,17.006716880578715,1.8999999999999773,0.0,3.1,1.2002077922077907,0.8413510101684506,3.988077340807509,33.91698701298697,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-38.csv,11,42.78,2,L,34.67454545454541,27.31402597402594,28.06737662337659,156.98743994021476,-0.6468961038961032,26.853290738677202,2.900000000000034,0.0,2.4000000000000004,1.3223549783549766,0.4892710240498263,3.2899456400078364,33.91698701298697,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-38.csv,11,42.78,3,L,43.96628571428567,26.09111688311685,29.35994805194802,208.58249753055333,-0.3417359307359303,23.935873707759526,2.400000000000034,0.0,0.5,0.9204329004328994,0.9250388824226787,6.544984694979481,29.35994805194802,219.7490472487744
